member_id,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
481,58,Female,Monthly,Yoga,55,447,17:36,Absent
482,32,Male,Annual,CrossFit,95,816,18:45,Absent
483,49,Female,Monthly,HIIT,94,808,13:19,Present
484,51,Male,Annual,HIIT,27,229,19:43,Present
485,60,Other,Annual,CrossFit,22,214,16:25,Absent
486,30,Female,Quarterly,Strength Training,39,244,18:34,Present
487,30,Female,Monthly,Yoga,110,856,14:17,Present
488,50,Male,Monthly,Strength Training,66,558,13:48,Present
489,57,Male,Quarterly,HIIT,101,694,08:45,Absent
490,28,Female,Monthly,Cardio,81,607,06:02,Absent
491,26,Female,Monthly,Yoga,23,118,17:44,Present
492,60,Female,Quarterly,Strength Training,107,667,10:33,Present
493,33,Male,Annual,Yoga,32,282,10:23,Present
494,23,Male,Quarterly,Yoga,59,304,19:15,Absent
495,52,Other,Annual,HIIT,71,370,12:13,Present
496,61,Female,Monthly,HIIT,51,441,16:00,Present
497,42,Female,Quarterly,Cardio,95,749,21:33,Present
498,18,Other,Monthly,HIIT,20,170,08:27,Present
499,47,Other,Annual,Strength Training,120,766,17:23,Present
500,27,Other,Quarterly,Cardio,30,286,09:57,Absent
501,60,Female,Monthly,Strength Training,109,1022,05:27,Absent
502,54,Male,Quarterly,Yoga,95,876,06:27,Absent
503,24,Female,Quarterly,Yoga,99,647,16:14,Present
504,39,Other,Monthly,Cardio,25,170,22:02,Present
505,65,Male,Quarterly,HIIT,119,812,05:57,Absent
506,22,Male,Monthly,Yoga,78,502,13:42,Absent
507,30,Male,Quarterly,HIIT,115,678,16:44,Present
508,30,Other,Annual,Strength Training,78,701,21:28,Absent
509,29,Male,Annual,Yoga,55,347,18:29,Present
510,19,Other,Monthly,Strength Training,105,778,12:55,Absent
511,57,Male,Monthly,Cardio,58,465,19:00,Absent
512,54,Male,Annual,Yoga,49,273,15:23,Present
513,60,Female,Quarterly,CrossFit,72,539,19:08,Absent
514,63,Male,Quarterly,Cardio,49,372,09:48,Absent
515,43,Other,Annual,CrossFit,115,772,07:26,Absent
516,26,Male,Annual,HIIT,81,568,17:57,Present
517,36,Other,Monthly,Yoga,44,235,14:15,Absent
518,18,Female,Monthly,Yoga,108,800,18:30,Present
519,48,Other,Monthly,Yoga,82,427,13:24,Absent
520,47,Male,Annual,Strength Training,33,286,09:27,Present
521,22,Female,Monthly,Yoga,35,309,13:51,Present
522,51,Female,Quarterly,CrossFit,117,818,07:08,Present
523,32,Other,Quarterly,Cardio,112,1053,10:42,Absent
524,62,Female,Quarterly,Yoga,58,449,06:17,Absent
525,39,Male,Annual,Cardio,83,742,18:29,Absent
526,37,Female,Quarterly,HIIT,23,191,09:10,Absent
527,41,Male,Quarterly,Strength Training,45,254,15:22,Present
528,61,Other,Quarterly,Cardio,107,959,21:55,Present
529,57,Other,Quarterly,HIIT,97,535,14:22,Present
530,48,Female,Quarterly,CrossFit,102,738,17:15,Absent
531,22,Male,Quarterly,HIIT,28,180,11:33,Present
532,63,Other,Annual,Cardio,66,438,08:23,Present
533,33,Other,Quarterly,Strength Training,111,708,15:42,Present
534,22,Female,Annual,CrossFit,109,663,05:52,Absent
535,35,Male,Annual,Strength Training,73,481,08:38,Absent
536,28,Other,Annual,Yoga,86,827,14:12,Absent
537,64,Other,Annual,HIIT,73,427,09:22,Absent
538,23,Other,Annual,Strength Training,103,1018,22:40,Absent
539,43,Male,Monthly,HIIT,112,772,11:57,Present
540,26,Female,Annual,Cardio,74,464,20:49,Absent
541,53,Other,Annual,Yoga,118,726,21:22,Absent
542,34,Male,Monthly,CrossFit,47,443,05:50,Absent
543,34,Male,Monthly,HIIT,55,341,09:51,Present
544,61,Male,Annual,Cardio,43,344,20:56,Absent
545,36,Male,Monthly,HIIT,91,828,08:21,Present
546,40,Other,Monthly,CrossFit,71,375,21:33,Present
547,52,Female,Quarterly,Strength Training,66,509,22:19,Absent
548,18,Other,Annual,Strength Training,110,980,06:48,Absent
549,62,Male,Quarterly,HIIT,68,601,12:24,Present
550,37,Female,Monthly,CrossFit,75,492,22:58,Present
551,64,Other,Annual,CrossFit,27,187,15:25,Absent
552,36,Other,Quarterly,Cardio,55,284,21:03,Present
553,51,Female,Quarterly,CrossFit,43,399,08:48,Present
554,31,Other,Annual,Cardio,110,739,13:50,Absent
555,40,Male,Monthly,Cardio,20,155,16:18,Absent
556,27,Other,Quarterly,Cardio,78,504,18:21,Absent
557,26,Other,Annual,Yoga,64,380,16:06,Absent
558,38,Other,Monthly,Yoga,81,713,09:33,Absent
559,20,Other,Quarterly,HIIT,94,598,10:20,Absent
560,60,Male,Annual,HIIT,32,160,19:42,Present
561,48,Other,Monthly,Cardio,45,259,19:15,Present
562,59,Male,Annual,HIIT,85,782,05:53,Absent
563,38,Other,Quarterly,CrossFit,84,596,18:51,Absent
564,61,Other,Annual,Strength Training,53,271,05:20,Present
565,40,Female,Quarterly,HIIT,36,320,09:37,Absent
566,63,Other,Quarterly,HIIT,75,458,08:35,Absent
567,36,Other,Annual,CrossFit,109,981,10:19,Absent
568,65,Male,Quarterly,Yoga,105,980,19:14,Present
569,31,Female,Monthly,Cardio,21,182,15:42,Absent
570,60,Other,Annual,HIIT,41,240,13:04,Absent
571,19,Other,Quarterly,Yoga,63,357,13:42,Absent
572,38,Female,Annual,Yoga,27,147,09:25,Absent
573,28,Other,Monthly,CrossFit,28,230,06:36,Present
574,22,Other,Annual,Yoga,29,183,16:19,Absent
575,45,Male,Annual,HIIT,53,490,16:56,Present
576,39,Female,Monthly,HIIT,33,263,06:45,Absent
577,52,Male,Quarterly,HIIT,50,290,18:11,Present
578,27,Male,Annual,CrossFit,61,399,07:31,Absent
579,33,Female,Annual,CrossFit,76,737,06:44,Present
580,41,Female,Quarterly,Cardio,116,769,09:11,Present
581,48,Other,Quarterly,HIIT,70,490,10:20,Absent
582,55,Female,Monthly,Cardio,25,156,06:08,Present
583,28,Other,Monthly,Strength Training,88,527,06:35,Absent
584,47,Other,Monthly,CrossFit,23,182,15:18,Present
585,51,Female,Quarterly,HIIT,60,490,08:25,Present
586,19,Male,Monthly,Cardio,64,499,06:24,Absent
587,36,Other,Monthly,Cardio,66,445,15:38,Absent
588,27,Male,Monthly,CrossFit,74,463,05:21,Absent
589,26,Female,Annual,HIIT,83,765,05:10,Absent
590,20,Other,Monthly,Yoga,86,751,15:48,Present
591,21,Male,Annual,HIIT,85,568,18:14,Present
592,35,Other,Quarterly,HIIT,74,661,13:22,Absent
593,42,Female,Annual,Yoga,44,355,09:34,Absent
594,36,Other,Annual,HIIT,97,514,06:37,Absent
595,47,Other,Annual,Cardio,115,605,22:15,Absent
596,54,Male,Quarterly,HIIT,116,913,10:15,Present
597,35,Female,Quarterly,Strength Training,44,435,22:46,Present
598,56,Female,Quarterly,HIIT,38,321,13:42,Absent
599,65,Other,Annual,Strength Training,91,648,10:45,Absent
600,29,Other,Monthly,CrossFit,65,471,11:40,Present
601,37,Male,Annual,HIIT,56,510,16:03,Present
602,65,Other,Annual,Strength Training,60,586,11:26,Present
603,23,Female,Quarterly,Yoga,85,439,08:20,Present
604,30,Male,Quarterly,CrossFit,48,249,17:40,Present
605,35,Other,Annual,Yoga,43,243,22:05,Absent
606,49,Male,Annual,HIIT,73,397,05:56,Present
607,21,Male,Quarterly,Cardio,67,418,16:21,Absent
608,64,Female,Quarterly,CrossFit,75,580,14:17,Absent
609,52,Male,Annual,Yoga,104,523,14:31,Present
610,49,Other,Annual,Strength Training,37,195,07:41,Absent
611,33,Other,Quarterly,Cardio,115,576,15:41,Present
612,64,Other,Monthly,HIIT,108,983,11:28,Present
613,25,Female,Monthly,HIIT,96,726,19:09,Absent
614,43,Female,Annual,Cardio,120,603,15:07,Present
615,56,Male,Annual,Strength Training,98,895,18:04,Absent
616,32,Female,Annual,Cardio,51,457,07:29,Absent
617,64,Female,Quarterly,Yoga,27,219,06:20,Absent
618,26,Female,Monthly,HIIT,81,571,22:45,Absent
619,57,Other,Quarterly,Yoga,118,664,18:12,Present
620,25,Female,Quarterly,Strength Training,118,1130,21:12,Absent
621,25,Male,Monthly,CrossFit,93,599,19:46,Absent
622,63,Male,Annual,CrossFit,116,956,07:41,Absent
623,29,Female,Monthly,Strength Training,37,220,14:03,Absent
624,63,Female,Monthly,CrossFit,64,349,05:00,Present
625,34,Other,Monthly,Yoga,120,948,16:57,Absent
626,46,Male,Quarterly,Strength Training,87,516,19:32,Present
627,47,Other,Monthly,CrossFit,52,444,08:19,Absent
628,44,Male,Monthly,Yoga,36,312,20:48,Absent
629,39,Other,Quarterly,Strength Training,63,364,09:12,Present
630,21,Female,Quarterly,Strength Training,89,840,14:30,Absent
631,37,Other,Monthly,CrossFit,91,908,12:52,Absent
632,56,Male,Annual,Yoga,100,640,22:28,Present
633,61,Male,Annual,HIIT,21,196,14:25,Absent
634,54,Other,Quarterly,CrossFit,63,546,14:12,Present
635,49,Male,Annual,CrossFit,73,427,15:55,Absent
636,40,Male,Monthly,Strength Training,71,588,08:52,Present
637,32,Female,Monthly,HIIT,83,599,16:42,Present
638,26,Male,Quarterly,CrossFit,120,1184,06:09,Absent
639,29,Male,Quarterly,Strength Training,41,370,07:27,Absent
640,33,Other,Annual,Cardio,32,224,09:51,Absent
641,59,Other,Quarterly,Strength Training,43,422,18:03,Absent
642,54,Other,Quarterly,Strength Training,105,1028,09:40,Present
643,31,Female,Quarterly,Strength Training,36,216,10:28,Absent
644,59,Other,Monthly,HIIT,67,521,05:17,Present
645,50,Male,Annual,HIIT,55,443,07:46,Present
646,24,Female,Quarterly,HIIT,118,595,16:07,Present
647,48,Male,Monthly,Yoga,88,690,13:00,Present
648,22,Male,Annual,CrossFit,31,266,17:42,Present
649,51,Other,Annual,Yoga,110,937,22:58,Present
650,31,Other,Quarterly,Cardio,77,665,21:20,Present
651,34,Male,Monthly,Yoga,38,274,12:42,Absent
652,23,Female,Quarterly,HIIT,105,724,17:09,Absent
653,38,Other,Annual,HIIT,36,233,14:39,Absent
654,43,Male,Quarterly,CrossFit,56,306,12:09,Present
655,19,Female,Quarterly,Yoga,61,419,16:03,Absent
656,34,Female,Monthly,Cardio,95,673,19:41,Present
657,32,Other,Quarterly,Yoga,89,466,17:24,Present
658,47,Other,Quarterly,Cardio,44,319,18:32,Absent
659,48,Female,Quarterly,Yoga,84,477,20:16,Absent
660,21,Male,Annual,Strength Training,88,867,16:18,Absent
661,59,Other,Monthly,Strength Training,69,456,19:16,Present
662,35,Female,Monthly,Cardio,29,251,06:27,Present
663,49,Male,Quarterly,Strength Training,77,736,05:57,Absent
664,27,Female,Quarterly,Cardio,62,335,06:39,Present
665,54,Male,Monthly,HIIT,98,620,15:45,Absent
666,40,Other,Monthly,Cardio,88,712,09:16,Present
667,21,Male,Monthly,HIIT,31,272,17:56,Absent
668,44,Female,Annual,Yoga,74,499,13:33,Absent
669,48,Female,Quarterly,Strength Training,29,153,19:00,Absent
670,65,Male,Quarterly,HIIT,68,395,05:47,Absent
671,27,Male,Annual,Yoga,68,676,08:10,Present
672,38,Male,Monthly,Strength Training,51,299,09:40,Present
673,30,Female,Monthly,Strength Training,22,206,20:29,Present
674,55,Other,Monthly,CrossFit,75,707,16:12,Present
675,38,Other,Monthly,Cardio,73,485,11:39,Absent
676,58,Female,Monthly,HIIT,74,614,06:05,Present
677,29,Female,Monthly,HIIT,66,421,14:59,Present
678,30,Male,Monthly,CrossFit,109,815,16:43,Absent
679,56,Female,Quarterly,HIIT,61,312,22:37,Present
680,19,Male,Quarterly,Cardio,67,615,18:52,Present
681,29,Male,Annual,HIIT,49,360,10:38,Present
682,44,Female,Quarterly,Strength Training,106,913,21:34,Present
683,63,Other,Quarterly,Cardio,23,189,15:28,Present
684,40,Female,Monthly,CrossFit,73,656,08:01,Present
685,41,Other,Monthly,CrossFit,115,1137,10:05,Present
686,48,Male,Monthly,HIIT,54,440,12:16,Present
687,65,Other,Quarterly,CrossFit,42,344,17:53,Absent
688,25,Other,Monthly,Strength Training,55,448,15:30,Absent
689,59,Male,Annual,Strength Training,89,790,20:38,Present
690,44,Other,Monthly,Cardio,105,797,19:38,Absent
691,31,Male,Annual,Strength Training,62,477,16:51,Present
692,27,Female,Monthly,HIIT,22,110,08:56,Present
693,36,Female,Monthly,Cardio,66,389,17:37,Present
694,29,Other,Monthly,HIIT,112,1010,15:30,Absent
695,63,Female,Annual,HIIT,21,136,09:57,Absent
696,34,Other,Monthly,HIIT,42,366,07:35,Absent
697,42,Female,Quarterly,Strength Training,108,954,11:54,Present
698,52,Male,Monthly,Yoga,94,842,13:45,Present
699,51,Male,Quarterly,Strength Training,64,459,21:43,Present
700,24,Other,Monthly,Cardio,86,524,22:05,Absent
701,63,Female,Annual,Cardio,77,394,16:52,Absent
702,54,Female,Annual,Strength Training,109,1084,19:50,Absent
703,41,Female,Annual,HIIT,103,984,15:40,Present
704,44,Female,Monthly,Yoga,84,624,17:36,Present
705,47,Male,Monthly,HIIT,114,920,20:44,Present
706,25,Male,Monthly,CrossFit,72,380,14:04,Present
707,20,Male,Annual,Strength Training,64,562,21:58,Present
708,35,Other,Annual,CrossFit,64,541,09:28,Absent
709,57,Other,Monthly,Cardio,93,624,10:28,Present
710,58,Other,Quarterly,Cardio,38,193,10:32,Absent
711,35,Male,Annual,CrossFit,114,694,14:00,Present
712,39,Female,Quarterly,Cardio,49,302,17:10,Absent
713,35,Male,Monthly,Yoga,68,590,21:30,Absent
714,61,Male,Annual,CrossFit,44,325,17:23,Absent
715,62,Male,Annual,Yoga,24,190,11:09,Present
716,54,Male,Monthly,CrossFit,88,640,18:56,Present
717,39,Female,Quarterly,Cardio,39,248,14:56,Absent
718,32,Other,Annual,CrossFit,117,666,05:07,Present
719,34,Male,Quarterly,HIIT,99,967,12:43,Present
720,44,Male,Annual,HIIT,51,399,05:31,Absent
721,38,Other,Quarterly,HIIT,70,604,19:03,Absent
722,51,Male,Quarterly,Cardio,95,525,17:13,Present
723,64,Female,Quarterly,Cardio,54,414,13:36,Present
724,59,Female,Quarterly,HIIT,79,620,12:07,Absent
725,47,Other,Quarterly,HIIT,76,720,19:00,Absent
726,65,Female,Monthly,Yoga,58,425,16:29,Present
727,21,Other,Annual,Strength Training,111,1002,07:04,Absent
728,43,Male,Annual,Strength Training,58,555,08:55,Present
729,39,Female,Monthly,Strength Training,48,433,20:09,Present
730,45,Female,Monthly,CrossFit,85,543,21:17,Absent
731,49,Male,Quarterly,Yoga,69,505,11:05,Absent
732,35,Other,Monthly,Strength Training,89,709,10:54,Absent
733,23,Other,Annual,HIIT,30,282,10:48,Present
734,42,Male,Monthly,Strength Training,58,481,07:16,Absent
735,51,Other,Monthly,HIIT,102,916,12:35,Present
736,51,Male,Quarterly,Cardio,118,901,14:18,Absent
737,36,Female,Monthly,HIIT,95,587,07:38,Present
738,23,Male,Annual,Yoga,70,350,20:44,Absent
739,37,Male,Annual,Yoga,22,209,20:29,Absent
740,21,Male,Quarterly,CrossFit,32,175,09:25,Present
741,30,Female,Annual,Cardio,75,436,19:56,Absent
742,49,Female,Annual,HIIT,43,358,15:57,Present
743,47,Female,Quarterly,HIIT,103,723,08:46,Present
744,58,Male,Monthly,HIIT,114,887,09:50,Present
745,64,Male,Quarterly,CrossFit,24,165,13:21,Absent
746,19,Other,Annual,HIIT,45,439,20:52,Present
747,62,Other,Quarterly,CrossFit,55,485,07:52,Present
748,57,Other,Monthly,Cardio,80,481,19:30,Absent
749,31,Other,Annual,Strength Training,48,314,09:06,Absent
750,40,Other,Annual,Yoga,44,293,22:46,Absent
751,53,Male,Annual,HIIT,21,109,05:24,Present
752,46,Male,Annual,Yoga,71,667,18:06,Absent
753,43,Female,Monthly,Strength Training,54,439,05:56,Present
754,40,Female,Quarterly,Strength Training,32,181,20:28,Absent
755,53,Female,Monthly,CrossFit,53,480,14:02,Absent
756,23,Female,Annual,CrossFit,37,286,07:04,Present
757,47,Female,Annual,Strength Training,52,264,06:50,Absent
758,21,Male,Annual,Cardio,116,1059,12:14,Absent
759,35,Other,Annual,HIIT,91,762,15:57,Present
760,45,Male,Monthly,Yoga,103,591,18:28,Absent
761,43,Male,Annual,Yoga,63,447,20:52,Absent
762,37,Other,Annual,Yoga,80,677,18:08,Present
763,24,Male,Annual,Cardio,44,319,12:45,Absent
764,30,Other,Monthly,CrossFit,95,774,17:10,Absent
765,46,Male,Monthly,Strength Training,38,333,09:27,Present
766,24,Male,Annual,Cardio,23,171,10:12,Present
767,31,Other,Annual,Cardio,105,803,11:48,Present
768,57,Female,Monthly,HIIT,72,476,08:01,Present
769,54,Male,Monthly,Strength Training,66,348,06:17,Absent
770,65,Female,Annual,CrossFit,84,507,08:10,Absent
771,19,Male,Quarterly,HIIT,79,694,17:56,Absent
772,49,Female,Quarterly,Cardio,92,483,12:13,Present
773,36,Female,Annual,Yoga,94,563,07:49,Present
774,60,Male,Quarterly,Cardio,52,501,11:57,Absent
775,38,Male,Quarterly,Strength Training,69,685,07:46,Present
776,18,Female,Annual,Yoga,93,860,21:08,Absent
777,26,Male,Quarterly,CrossFit,120,1093,12:04,Present
778,24,Other,Monthly,Yoga,116,693,07:08,Present
779,47,Male,Monthly,Strength Training,58,538,09:18,Present
780,43,Male,Monthly,Strength Training,87,475,13:42,Absent
781,56,Male,Monthly,Strength Training,79,652,09:52,Present
782,64,Female,Annual,HIIT,49,256,05:21,Present
783,18,Male,Quarterly,Yoga,118,717,10:45,Present
784,31,Other,Annual,HIIT,25,242,14:15,Absent
785,28,Other,Annual,Cardio,106,1025,17:41,Present
786,54,Male,Monthly,Yoga,22,160,12:44,Absent
787,36,Male,Monthly,HIIT,59,340,08:36,Absent
788,55,Female,Quarterly,Strength Training,82,703,20:11,Present
789,58,Male,Quarterly,CrossFit,43,420,08:46,Present
790,64,Female,Monthly,Cardio,111,676,08:54,Absent
791,27,Other,Quarterly,Cardio,60,410,22:17,Absent
792,51,Female,Quarterly,Strength Training,80,421,15:47,Absent
793,27,Other,Monthly,Yoga,82,604,05:16,Present
794,47,Female,Annual,Cardio,42,268,18:04,Absent
795,45,Female,Annual,Yoga,21,173,12:46,Present
796,52,Female,Monthly,CrossFit,71,640,09:12,Present
797,48,Other,Monthly,HIIT,49,357,17:30,Present
798,44,Male,Annual,HIIT,95,784,19:24,Absent
799,39,Female,Monthly,Cardio,54,406,11:13,Present
800,62,Other,Annual,CrossFit,74,386,10:31,Present
801,39,Other,Annual,Strength Training,83,803,21:21,Present
802,51,Female,Annual,Cardio,85,703,08:25,Absent
803,53,Female,Quarterly,Yoga,44,375,22:19,Absent
804,62,Other,Monthly,CrossFit,106,806,08:36,Absent
805,51,Female,Quarterly,Strength Training,54,502,11:58,Present
806,44,Other,Monthly,Strength Training,44,334,21:25,Absent
807,35,Female,Annual,Cardio,103,715,14:33,Present
808,38,Other,Quarterly,Yoga,45,385,22:57,Absent
809,22,Female,Quarterly,CrossFit,108,1011,08:58,Absent
810,48,Male,Monthly,Yoga,28,145,09:12,Present
811,52,Other,Quarterly,Cardio,61,370,20:47,Absent
812,52,Male,Annual,Yoga,20,148,21:38,Present
813,43,Male,Monthly,Cardio,109,722,22:11,Present
814,18,Female,Annual,HIIT,102,723,07:30,Present
815,20,Male,Quarterly,Strength Training,68,376,22:28,Absent
816,21,Male,Annual,HIIT,86,548,21:20,Present
817,21,Male,Annual,Yoga,22,145,21:15,Absent
818,31,Other,Monthly,HIIT,91,765,20:05,Present
819,61,Male,Annual,Cardio,108,679,10:13,Absent
820,38,Female,Monthly,Cardio,39,206,06:47,Present
821,45,Female,Annual,Cardio,110,612,11:08,Absent
822,36,Male,Quarterly,HIIT,33,193,08:40,Present
823,37,Male,Quarterly,Cardio,103,847,18:54,Present
824,61,Female,Quarterly,CrossFit,68,354,10:30,Absent
825,55,Male,Monthly,HIIT,40,221,16:20,Absent
826,18,Female,Quarterly,HIIT,112,911,20:03,Absent
827,37,Other,Monthly,Yoga,58,485,10:43,Present
828,50,Male,Monthly,Strength Training,114,1078,18:22,Absent
829,65,Female,Annual,CrossFit,39,196,18:54,Present
830,18,Female,Quarterly,CrossFit,95,637,19:16,Present
831,61,Other,Quarterly,Cardio,103,1003,07:05,Present
832,57,Other,Annual,Yoga,39,357,15:01,Absent
833,61,Male,Annual,CrossFit,110,678,15:30,Absent
834,37,Other,Quarterly,Cardio,23,173,10:42,Present
835,56,Female,Quarterly,Strength Training,76,533,18:49,Present
836,64,Female,Quarterly,Cardio,44,354,10:45,Present
837,55,Male,Quarterly,CrossFit,42,410,10:32,Absent
838,18,Other,Monthly,Strength Training,72,643,09:40,Present
839,18,Other,Monthly,CrossFit,100,665,20:49,Absent
840,23,Female,Monthly,Yoga,62,611,08:12,Absent
841,65,Female,Monthly,Strength Training,109,897,07:01,Present
842,60,Female,Monthly,Yoga,113,647,08:05,Absent
843,42,Male,Quarterly,HIIT,72,673,10:44,Absent
844,29,Male,Annual,HIIT,88,600,19:30,Present
845,39,Female,Monthly,Yoga,65,550,12:32,Present
846,61,Female,Annual,CrossFit,25,201,09:31,Present
847,59,Other,Quarterly,CrossFit,93,908,20:47,Present
848,19,Female,Quarterly,Cardio,70,684,21:57,Present
849,48,Male,Annual,CrossFit,80,440,08:22,Present
850,43,Male,Annual,Yoga,25,183,14:00,Absent
851,57,Other,Annual,CrossFit,38,288,12:50,Present
852,23,Female,Monthly,Cardio,64,500,12:36,Present
853,46,Female,Annual,HIIT,87,626,06:31,Present
854,36,Other,Quarterly,CrossFit,119,1072,10:18,Present
855,57,Male,Annual,Cardio,92,567,14:05,Present
856,52,Male,Annual,CrossFit,61,571,11:05,Present
857,28,Male,Monthly,CrossFit,27,176,14:41,Absent
858,51,Female,Quarterly,HIIT,31,296,13:00,Present
859,48,Female,Annual,Cardio,31,207,22:45,Absent
860,31,Male,Annual,Strength Training,101,612,08:31,Absent
861,23,Female,Annual,Yoga,23,211,12:54,Present
862,54,Male,Annual,Cardio,111,603,05:58,Present
863,31,Male,Annual,CrossFit,72,400,19:04,Absent
864,52,Female,Quarterly,CrossFit,24,175,20:04,Absent
865,54,Other,Monthly,HIIT,106,915,13:06,Absent
866,34,Male,Monthly,Cardio,50,485,09:06,Present
867,26,Male,Monthly,HIIT,95,576,18:11,Present
868,39,Male,Annual,Cardio,104,807,06:13,Present
869,48,Female,Quarterly,HIIT,116,1018,11:04,Absent
870,45,Male,Annual,CrossFit,23,206,22:25,Absent
871,26,Male,Monthly,Strength Training,42,235,20:49,Absent
872,39,Other,Annual,Yoga,36,325,17:31,Absent
873,42,Other,Annual,CrossFit,77,607,10:47,Absent
874,41,Other,Quarterly,Yoga,93,471,10:51,Present
875,49,Male,Annual,Cardio,44,221,12:49,Present
876,18,Female,Quarterly,Strength Training,98,898,17:05,Present
877,34,Male,Quarterly,Yoga,40,236,19:43,Present
878,59,Male,Annual,Cardio,89,577,16:09,Present
879,29,Female,Quarterly,Strength Training,110,723,10:17,Present
880,27,Female,Quarterly,Strength Training,81,602,06:46,Absent
881,36,Male,Monthly,CrossFit,63,514,12:21,Absent
882,27,Male,Monthly,Strength Training,57,359,20:18,Absent
883,30,Female,Annual,Strength Training,96,807,10:45,Absent
884,62,Other,Quarterly,CrossFit,109,807,09:40,Present
885,32,Male,Monthly,CrossFit,108,619,12:23,Absent
886,22,Female,Monthly,CrossFit,101,909,05:00,Absent
887,43,Male,Quarterly,CrossFit,37,295,14:29,Present
888,40,Male,Quarterly,HIIT,42,318,20:47,Absent
889,38,Other,Annual,Strength Training,84,609,17:54,Present
890,27,Other,Annual,Strength Training,59,443,20:52,Absent
891,37,Other,Quarterly,Strength Training,105,611,06:24,Present
892,62,Male,Annual,HIIT,26,189,15:05,Present
893,40,Other,Monthly,Yoga,31,232,10:08,Absent
894,43,Female,Monthly,Yoga,86,562,10:33,Present
895,20,Male,Monthly,Strength Training,73,578,20:11,Absent
896,21,Other,Quarterly,HIIT,22,163,20:52,Absent
897,19,Female,Quarterly,Yoga,54,369,05:27,Present
898,49,Female,Monthly,CrossFit,82,753,16:36,Absent
899,31,Other,Quarterly,Strength Training,34,222,14:41,Present
900,32,Female,Quarterly,Cardio,20,104,11:15,Absent
901,50,Female,Monthly,HIIT,30,239,06:34,Absent
902,57,Other,Monthly,HIIT,100,805,07:16,Absent
903,58,Male,Monthly,CrossFit,20,109,12:38,Present
904,27,Female,Quarterly,Cardio,111,1004,16:31,Absent
905,21,Other,Monthly,Cardio,112,706,21:07,Present
906,42,Male,Quarterly,Strength Training,76,534,10:44,Present
907,33,Other,Monthly,HIIT,60,354,22:32,Present
908,56,Other,Quarterly,CrossFit,26,199,17:29,Present
909,48,Other,Annual,Strength Training,25,202,14:13,Absent
910,21,Other,Monthly,Cardio,69,674,17:45,Absent
911,53,Female,Monthly,Cardio,57,386,22:16,Present
912,46,Female,Annual,Cardio,28,144,14:47,Absent
913,52,Other,Annual,CrossFit,33,297,08:17,Absent
914,52,Male,Monthly,Yoga,45,252,13:21,Present
915,47,Female,Annual,Strength Training,40,310,15:40,Absent
916,51,Other,Quarterly,CrossFit,74,631,10:42,Absent
917,40,Male,Monthly,CrossFit,93,650,12:13,Present
918,36,Male,Monthly,Cardio,63,429,19:27,Present
919,65,Female,Annual,Strength Training,109,692,22:36,Absent
920,31,Other,Annual,CrossFit,109,889,19:07,Present
921,24,Male,Annual,Strength Training,74,431,22:33,Absent
922,43,Female,Quarterly,Yoga,77,439,11:13,Present
923,23,Other,Monthly,Yoga,74,721,08:56,Absent
924,57,Male,Annual,Yoga,43,241,11:28,Present
925,24,Other,Quarterly,HIIT,73,640,05:22,Present
926,54,Male,Quarterly,Yoga,36,248,22:17,Present
927,36,Male,Annual,Cardio,84,765,05:52,Absent
928,46,Other,Monthly,CrossFit,84,490,16:12,Present
929,31,Male,Annual,Strength Training,118,787,09:13,Absent
930,48,Female,Monthly,Strength Training,75,530,13:22,Present
931,20,Other,Quarterly,Strength Training,117,826,16:47,Present
932,42,Male,Monthly,HIIT,89,814,22:39,Present
933,53,Male,Annual,Strength Training,32,269,13:23,Absent
934,33,Other,Quarterly,HIIT,96,814,20:49,Present
935,46,Other,Monthly,CrossFit,69,367,12:17,Absent
936,57,Other,Annual,CrossFit,75,668,16:40,Present
937,45,Male,Annual,Yoga,110,966,16:27,Present
938,51,Female,Quarterly,Yoga,51,272,07:09,Present
939,43,Other,Monthly,HIIT,77,642,08:38,Absent
940,63,Female,Monthly,Cardio,60,450,18:18,Present
941,23,Female,Monthly,CrossFit,27,239,06:44,Absent
942,51,Male,Quarterly,Cardio,74,616,19:13,Absent
943,54,Male,Annual,HIIT,51,504,21:25,Present
944,29,Female,Monthly,CrossFit,54,305,05:53,Absent
945,31,Female,Quarterly,Cardio,80,411,08:39,Absent
946,21,Female,Annual,Yoga,37,197,06:13,Present
947,60,Other,Monthly,Yoga,39,230,07:42,Absent
948,62,Female,Annual,Yoga,117,767,07:57,Present
949,26,Other,Annual,CrossFit,97,698,11:41,Present
950,61,Male,Quarterly,Yoga,86,498,17:29,Absent
951,56,Female,Quarterly,Strength Training,54,503,19:16,Present
952,53,Female,Annual,Cardio,48,336,11:44,Absent
953,30,Female,Quarterly,CrossFit,99,628,10:58,Present
954,36,Other,Quarterly,CrossFit,60,466,07:09,Absent
955,26,Other,Quarterly,Yoga,63,410,19:07,Absent
956,38,Male,Quarterly,Cardio,98,962,07:33,Present
957,53,Other,Quarterly,Cardio,45,292,18:35,Absent
958,53,Female,Annual,HIIT,39,202,11:37,Present
959,46,Male,Monthly,Strength Training,21,150,13:32,Present
960,37,Other,Monthly,Strength Training,35,204,08:42,Present
961,30,Male,Monthly,CrossFit,102,582,09:07,Present
962,47,Female,Quarterly,Cardio,93,576,18:10,Present
